"mz","Intensity"
101.0706,55
102.0552,23.02
112.0872,14
130.0603,20
143.1175,52.02
159.0755,21
169.1346,15.57
171.0986,20.58
173.11,12.02
175.1189,65.27
186.5607,14.54
187.1438,1074
197.1307,14.29
199.1795,41.02
214.4628,14.55
215.139,793
217.0906,13
227.113,13.82
227.1765,19
228.107,13
241.0812,24
243.1337,161
245.1238,71
259.1013,18.32
262.1513,293
264.1521,12.29
270.1087,15
271.1606,13
281.1054,14
282.1321,15.27
283.2014,36
283.2376,32
288.1171,12
298.1035,41
299.1328,18
300.155,46.37
310.2131,30.27
313.1492,24
315.1789,46.07
316.1144,61.02
326.1533,23
328.2234,242
338.1488,15.27
340.1469,17.05
356.157,36
357.1421,16.27
373.1829,25
374.1696,32.02
375.2858,24.09
384.191,22
385.1548,17.55
391.1944,163
401.1944,36.02
409.1367,19
410.197,226
427.1395,16.02
429.1926,27.82
429.2708,25.81
431.2695,22.37
432.2047,18.29
439.2296,12.57
439.2556,30.02
450.1915,17.31
455.2123,14.54
457.2663,147
479.2617,13.39
502.2276,25.58
508.2596,70
511.2639,24.02
514.1722,17.02
514.2879,26
515.6171,42.02
516.7697,15
516.9249,14
517.0366,16.54
517.5886,32.29
520.2349,98
522.2138,18.27
530.2385,22
532.2515,15.29
537.213,11.84
542.219,53
558.2461,14.37
559.2451,25.27
560.231,61.38
575.4272,16
577.257,1488
578.2606,54.04
599.261,15.31
617.2935,19.54
625.2975,24.04
643.3321,31.27
653.2974,16.67
660.3521,28.67
661.3577,9.22
672.2641,20.83
676.2983,15.64
687.3541,24.39
688.2897,244
704.0532,18
706.2994,1973
707.3023,78
710.3313,12.37
716.2906,14.27
741.3412,12
754.367,16
759.3703,22.02
766.3573,17
772.3717,30
774.3456,17
777.3783,12
783.3616,99
784.3517,40.68
789.3858,19.67
791.4052,12.28
801.3743,106
802.3571,24.53
816.7723,24
819.3828,3761
820.384,173
829.3577,20
831.4243,10.08
833.4507,12.29
859.3943,12
899.5349,4
902.4023,6.279
914.4729,7
916.4918,4.269
920.4423,7
922.479,4
932.4652,50.32
932.4681,89
933.4692,8
934.384,4.269
942.4451,12
960.4507,6
992.4316,4
1003.5469,7.018
1004.5275,2.525
1011.4346,4.018
1016.4864,15.92
1024.4661,4.036
1040.3966,17.3
1045.4653,5.269
1118.6101,4.269
1171.5616,3.269
1188.4741,3.269
1233.6364,5
1304.6698,2
1391.7096,37.29
1448.7198,26.02
1545.8442,14.05
1641.7695,20.05
2070.3333,26.56
112.0866,5
141.0943,5
155.117,5
157.0926,11
158.095,5
159.0802,8
169.0941,14
173.1205,11.27
175.1172,19
178.0644,6
183.1083,12.02
185.1652,5
186.1142,8.001
201.1249,11
203.0959,6.054
212.0686,5.825
225.125,5.018
228.1391,5
229.0858,5.018
232.1447,5
233.127,5.287
235.1187,6.018
236.1134,5.287
238.1168,32
240.1394,6.019
242.1217,9.351
244.1231,14.02
245.1265,8
246.1309,7.054
252.0328,9
252.1351,15.81
255.1322,6.175
256.124,7
262.1508,177
268.1493,5.825
270.144,61.32
272.1756,6.018
281.0821,7.018
284.1106,8
288.1595,7.018
294.1524,5.269
296.1298,5.538
315.1805,10.08
331.1691,9
339.1695,14.27
360.1576,8.269
365.215,8.076
369.1779,9.018
371.1959,15.27
377.1754,51.08
380.2041,76.12
383.2472,8.055
385.1907,8.269
410.1584,11.05
414.7142,66
423.7209,73
424.2238,9.018
442.2493,8.592
456.2441,11.02
470.2746,10
473.2447,9
475.2317,8.323
488.2542,12.29
490.2631,49
498.2596,11.02
504.2592,8.018
505.769,21
509.2294,8.323
516.2337,6.101
522.1305,10
526.2682,8.288
539.2796,10.27
573.3062,8.368
585.2955,11.08
590.3434,8
591.3085,90
601.3115,14
618.3301,13.54
641.3429,7.924
652.3404,8.018
662.3445,79
663.3361,9.684
670.3839,12
699.3694,7.305
704.3674,7
717.3473,9
720.3558,9.637
734.3324,6
741.3922,14.55
745.3759,8.269
758.432,6
759.3998,152
760.3917,21
777.3985,11.57
804.4173,10
814.4741,7.018
817.4208,6.287
818.3839,4.692
819.4092,4.793
829.4122,11.34
831.4116,6.269
834.4223,6
836.4088,7
846.4304,99
847.4244,17.28
883.4495,6
897.4557,7
900.51,3.269
913.4529,3.269
915.454,20.05
933.4608,70.02
943.4454,7
997.4809,5.018
1003.4598,5
1028.5366,49
1098.4541,2
1184.4929,2
1196.5693,12.1
1234.5314,2
1241.6312,10.34
1379.6531,9.342
1429.7501,8.001
1550.7672,13.29
1567.8091,72
102.0536,44
112.089,12.54
113.0593,13.1
130.0769,14
143.1176,211
155.09,15.56
157.1158,15
170.5904,19.08
171.1128,333
173.0941,49.07
175.1187,75
183.0846,16.04
185.1039,33.04
197.1292,54.66
201.0878,86
215.1393,99
225.1232,42
229.1274,59
243.1326,135
