"mz","Intensity"
191.071,26
193.0888,26
371.1879,31.91
789.4491,167
120.0827,18
129.1025,32
143.1071,25
159.1159,26.62
171.1078,13
265.0947,13.61
410.734,18
472.2621,18
516.1714,13.61
567.3203,19
569.352,13.61
572.8202,44
599.3425,12
626.3556,12
631.3404,12
648.3912,13
660.3182,12.11
668.3744,41.62
676.3138,13.61
679.3522,12
710.4673,12
813.4421,19
844.533,12
970.5528,12
1021.5568,13
1046.4921,12
1053.4841,18
1078.5294,12
1155.6261,12
1221.5996,14.21
2093.7612,198.1
214.096,26
419.2285,26
833.4689,629
834.4809,78
111.0545,12.05
136.0759,69
155.0938,12.81
175.1181,29
231.0678,28.05
233.0946,24
241.0895,18.81
245.0752,16
246.1021,13.61
249.1611,44
250.1501,16
251.1162,17.05
259.1059,15.05
269.1494,14
277.1555,25
303.2134,24
315.1593,15.35
343.1726,20.45
360.0947,16
363.1424,17.05
367.1943,15
389.2213,31
394.1446,22
395.1691,22.84
398.1992,17
400.2334,17
404.8708,20
405.2165,40.1
417.2329,24.4
433.1391,20.05
433.2681,14
450.2804,23.1
461.2607,24.34
485.2143,14
504.7324,12.81
506.2264,15.05
520.2749,20.05
523.1563,12.1
526.2774,15.05
537.312,72
544.2528,16.61
551.2559,15.4
553.2836,17.11
591.2645,12.81
591.2809,21.05
593.3546,15.34
605.3445,14
645.3196,12.81
648.3468,15
649.3448,23
666.3521,79.05
668.3581,25
686.3386,12.81
704.3812,9
706.3459,9.054
711.3412,6.807
712.3572,15.81
736.3517,11
754.3821,15
755.3806,15.84
759.3544,14.86
779.3734,11
785.4199,9.807
795.4049,84.42
815.4354,16.61
846.4352,9
849.4219,34.72
910.4246,42.09
910.4274,51.37
920.4244,12.05
943.4467,8
1007.4391,14
1025.4392,61
1025.4535,129
1033.5273,12.81
1036.4551,6
1037.6257,13.1
1054.4949,12.11
1116.5392,12.05
1171.6025,15.86
1188.5112,198.1
1282.6572,36.86
1300.7068,706
1497.834,16.16
1785.8397,8.391
133.0841,102
177.1145,62
221.1341,44
225.1089,19
235.1136,24
384.235,18
406.2475,12
428.2544,75
434.7712,13.61
435.8191,13.61
436.2712,24.11
437.1828,94
547.3229,12
564.3422,18
591.3613,58
608.3884,19
635.3738,44
679.4282,25
696.4408,13.61
856.5054,12
234.4067,3
234.617,3
235.1064,2
235.2145,2
236.9986,3
237.2162,3.74
237.4999,3
238.8897,2.018
239.0947,2.018
239.23,2.018
279.1742,2.018
281.1694,2
391.2465,2.269
435.9068,9.018
437.0262,3.305
439.235,4.556
848.8692,2
851.6017,202
852.5715,3.018
854.4645,2
